dateRep,day,month,year,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp,type,counts
23/10/2022,23,10,2022,Austria,AT,AUT,8901064,Europe,cases,3557
22/10/2022,22,10,2022,Austria,AT,AUT,8901064,Europe,cases,5494
21/10/2022,21,10,2022,Austria,AT,AUT,8901064,Europe,cases,7776
20/10/2022,20,10,2022,Austria,AT,AUT,8901064,Europe,cases,8221
19/10/2022,19,10,2022,Austria,AT,AUT,8901064,Europe,cases,10007
18/10/2022,18,10,2022,Austria,AT,AUT,8901064,Europe,cases,13204
17/10/2022,17,10,2022,Austria,AT,AUT,8901064,Europe,cases,9964
16/10/2022,16,10,2022,Austria,AT,AUT,8901064,Europe,cases,6606
15/10/2022,15,10,2022,Austria,AT,AUT,8901064,Europe,cases,8818
14/10/2022,14,10,2022,Austria,AT,AUT,8901064,Europe,cases,11751
13/10/2022,13,10,2022,Austria,AT,AUT,8901064,Europe,cases,13068
12/10/2022,12,10,2022,Austria,AT,AUT,8901064,Europe,cases,14305
11/10/2022,11,10,2022,Austria,AT,AUT,8901064,Europe,cases,18498
10/10/2022,10,10,2022,Austria,AT,AUT,8901064,Europe,cases,13369
09/10/2022,9,10,2022,Austria,AT,AUT,8901064,Europe,cases,8689
08/10/2022,8,10,2022,Austria,AT,AUT,8901064,Europe,cases,11230
07/10/2022,7,10,2022,Austria,AT,AUT,8901064,Europe,cases,14391
06/10/2022,6,10,2022,Austria,AT,AUT,8901064,Europe,cases,15560
05/10/2022,5,10,2022,Austria,AT,AUT,8901064,Europe,cases,15291
04/10/2022,4,10,2022,Austria,AT,AUT,8901064,Europe,cases,18531
03/10/2022,3,10,2022,Austria,AT,AUT,8901064,Europe,cases,14200
02/10/2022,2,10,2022,Austria,AT,AUT,8901064,Europe,cases,8525
01/10/2022,1,10,2022,Austria,AT,AUT,8901064,Europe,cases,10344
30/09/2022,30,9,2022,Austria,AT,AUT,8901064,Europe,cases,12571
29/09/2022,29,9,2022,Austria,AT,AUT,8901064,Europe,cases,13061
28/09/2022,28,9,2022,Austria,AT,AUT,8901064,Europe,cases,12747
27/09/2022,27,9,2022,Austria,AT,AUT,8901064,Europe,cases,15316
26/09/2022,26,9,2022,Austria,AT,AUT,8901064,Europe,cases,10927
25/09/2022,25,9,2022,Austria,AT,AUT,8901064,Europe,cases,6088
24/09/2022,24,9,2022,Austria,AT,AUT,8901064,Europe,cases,6931
23/09/2022,23,9,2022,Austria,AT,AUT,8901064,Europe,cases,8564
22/09/2022,22,9,2022,Austria,AT,AUT,8901064,Europe,cases,7940
21/09/2022,21,9,2022,Austria,AT,AUT,8901064,Europe,cases,8078
20/09/2022,20,9,2022,Austria,AT,AUT,8901064,Europe,cases,8459
19/09/2022,19,9,2022,Austria,AT,AUT,8901064,Europe,cases,6235
18/09/2022,18,9,2022,Austria,AT,AUT,8901064,Europe,cases,3699
17/09/2022,17,9,2022,Austria,AT,AUT,8901064,Europe,cases,4795
16/09/2022,16,9,2022,Austria,AT,AUT,8901064,Europe,cases,5359
15/09/2022,15,9,2022,Austria,AT,AUT,8901064,Europe,cases,5372
14/09/2022,14,9,2022,Austria,AT,AUT,8901064,Europe,cases,5624
13/09/2022,13,9,2022,Austria,AT,AUT,8901064,Europe,cases,6250
12/09/2022,12,9,2022,Austria,AT,AUT,8901064,Europe,cases,5128
11/09/2022,11,9,2022,Austria,AT,AUT,8901064,Europe,cases,2794
10/09/2022,10,9,2022,Austria,AT,AUT,8901064,Europe,cases,3400
09/09/2022,9,9,2022,Austria,AT,AUT,8901064,Europe,cases,4139
08/09/2022,8,9,2022,Austria,AT,AUT,8901064,Europe,cases,4287
07/09/2022,7,9,2022,Austria,AT,AUT,8901064,Europe,cases,4444
06/09/2022,6,9,2022,Austria,AT,AUT,8901064,Europe,cases,5307
05/09/2022,5,9,2022,Austria,AT,AUT,8901064,Europe,cases,4570
04/09/2022,4,9,2022,Austria,AT,AUT,8901064,Europe,cases,2831
03/09/2022,3,9,2022,Austria,AT,AUT,8901064,Europe,cases,3366
02/09/2022,2,9,2022,Austria,AT,AUT,8901064,Europe,cases,3946
01/09/2022,1,9,2022,Austria,AT,AUT,8901064,Europe,cases,4157
31/08/2022,31,8,2022,Austria,AT,AUT,8901064,Europe,cases,4772
30/08/2022,30,8,2022,Austria,AT,AUT,8901064,Europe,cases,5570
29/08/2022,29,8,2022,Austria,AT,AUT,8901064,Europe,cases,5006
28/08/2022,28,8,2022,Austria,AT,AUT,8901064,Europe,cases,2758
27/08/2022,27,8,2022,Austria,AT,AUT,8901064,Europe,cases,3948
